epoch,train_loss,val_loss
1,0.5607687450945378,0.1118990815281868
2,0.1762678021416068,0.07590875861793757
3,0.15514375009387732,0.06830822730809451
4,0.14333547150716186,0.07162670828402043
5,0.13864833872951568,0.0645319310054183
6,0.131713294852525,0.05265664250776172
7,0.13069092171639204,0.05342718180269003
8,0.1312299427203834,0.0435190440826118
9,0.12704108062200248,0.04130388722196222
10,0.12158827934786677,0.04039334643259645
11,0.11890745701640844,0.04916558824852109
12,0.11801533567719162,0.05449977394938469
13,0.11501235554367303,0.03534368813037872
14,0.11860597857274115,0.03680436957255006
15,0.11395483061112463,0.04925354698300362
16,0.11491913975775242,0.043097861241549254
17,0.11465171980205924,0.03827938652597368
18,0.1088596964906901,0.040470327001065017
19,0.10982493349164725,0.034327048009261486
20,0.11058320520725101,0.03803974361717701
21,0.10824907028488814,0.035846869815140965
22,0.10600178849510848,0.04155276327952743
23,0.10440365817584098,0.032884775979444385
24,0.10429833546932786,0.029107157407328485
25,0.10554575497377663,0.03353660337626934
26,0.10346884380839765,0.03218619826063514
27,0.10880603077169508,0.028709892135113477
28,0.10093632202781737,0.03320956324413419
29,0.09948022438306361,0.02693793051224202
30,0.09923604255076497,0.025799636028707027
31,0.09508227314054966,0.029714769577607512
32,0.10345895373634995,0.028055895349010825
33,0.10376443742774427,0.027608567787334323
34,0.09795472502335906,0.026463277944363654
35,0.10157594804652036,0.0232753863055259
36,0.09956157946307212,0.025646708931773902
37,0.0988323900559917,0.03106096668727696
38,0.09380290252435952,0.023673694892786444
39,0.09488269651355222,0.024653491519391536
40,0.09444249483477324,0.02602498742751777
41,0.09536746961344034,0.024416443279013038
42,0.09454269240051508,0.025395374106243252
43,0.09192975237546488,0.020918717372696845
44,0.09153958921600133,0.02639467417448759
45,0.08854258986469359,0.023115225173532962
46,0.08892205392243341,0.024517794836312532
47,0.09300465287826955,0.02374694190081209
48,0.09157264925446361,0.02112374120950699
49,0.0949203531597741,0.019059478387236595
50,0.09873963379813358,0.021417749268002807
